record_id,source_split,transaction_type,merchant,amount,currency,transaction_date,bank,baseline_category_seed,target_category,notes,sms_text
sms_seed_v1-train-0001,train,debit,Zomato,47231.71,INR,24-04-2024,ICICI,Food,Food,Suggested from food-related merchant or message text.,Rs. 47231.71 debited from A/c **6325 on 24-04-2024 at Zomato. Avl Bal: Rs. 86483.27.
sms_seed_v1-train-0002,train,debit,Swiggy,25366.15,USD,2023-09-09,HDFC,Food,Food,Suggested from food-related merchant or message text.,$25366.15 withdrawn at Swiggy on 2023-09-09. Card ending in 1934. Balance: $58954.59.
sms_seed_v1-train-0003,train,debit,Ola,21179.15,USD,2024-02-10,Bank of America,Transport,Transport,Suggested from transport-related merchant or message text.,$21179.15 withdrawn at Ola on 2024-02-10. Card ending in 4426. Balance: $10447.54.
sms_seed_v1-train-0005,train,debit,AJIO,48279.38,USD,2023-10-02,ICICI,Utilities,Other,Defaulted to Other because the label was not certain.,$48279.38 spent at AJIO on 2023-10-02. Card ending in 2733. Balance: $23087.94.
sms_seed_v1-train-0006,train,debit,Target,45398.87,EUR,07-06-2024,Axis,Other,Other,Defaulted to Other because the label was not certain.,€45398.87 spent at Target on 07-06-2024. Card: ****1701. Balance: €77274.28.
sms_seed_v1-train-0007,train,debit,Best Buy,39688.71,USD,22/06/2024,SBI,Health,Other,Defaulted to Other because the label was not certain.,You made a $39688.71 transaction at Best Buy on 22/06/2024. Available: $55686.88.
sms_seed_v1-train-0008,train,debit,Whole Foods,40287.5,INR,2023-10-19,ICICI,Food,Other,Defaulted to Other because the label was not certain.,Your A/c **8752 spent Rs. 40287.5 on 2023-10-19 at Whole Foods. Balance: Rs. 43078.28.
sms_seed_v1-train-0009,train,debit,Grofers,21622.94,USD,2023-08-22,HDFC,Other,Groceries,Suggested from grocery-related merchant or message text.,debited: $21622.94 at Grofers on 2023-08-22 with card ...9829.
sms_seed_v1-train-0010,train,debit,Ola,12971.16,INR,03-11-2024,Bank of America,Transport,Transport,Suggested from transport-related merchant or message text.,Your A/c **2455 debited Rs. 12971.16 on 03-11-2024 at Ola. Balance: Rs. 49189.4.
sms_seed_v1-train-0012,train,debit,Ola,1050.27,JPY,18-03-2024,Axis,Transport,Transport,Suggested from transport-related merchant or message text.,ご利用¥1050.27 at Ola on 18-03-2024. Available: ¥58153.55.
sms_seed_v1-train-0014,train,debit,MakeMyTrip,8303.78,INR,20-02-2023,Chase,Other,Transport,Suggested from travel-ticket merchant or message text; collapsed to Transport because Travel is not in the shipped taxonomy.,INR 8303.78 debited via Debit Card to MakeMyTrip on 20-02-2023. Ref: 889950880813.
sms_seed_v1-train-0015,train,debit,Chevron,181.52,INR,14-03-2023,Kotak,Other,Transport,Suggested from fuel-related merchant or message text; collapsed to Transport because Fuel is not in the shipped taxonomy.,Rs. 181.52 spent from A/c **1003 on 14-03-2023 at Chevron. Avl Bal: Rs. 62978.79.
sms_seed_v1-train-0017,train,debit,Domino's,35328.61,INR,17/03/2024,Revolut,Other,Food,Suggested from food-related merchant or message text.,withdrawn of Rs. 35328.61 made at Domino's on 17/03/2024. Card ending 8395. Avl Bal: Rs. 61718.4.
sms_seed_v1-train-0018,train,debit,Shell,7012.87,USD,2023-05-16,Axis,Health,Transport,Suggested from fuel-related merchant or message text; collapsed to Transport because Fuel is not in the shipped taxonomy.,You made a $7012.87 transaction at Shell on 2023-05-16. Available: $84260.15.
sms_seed_v1-train-0019,train,debit,Netflix,36755.21,USD,03/04/2023,SBI,Entertainment,Entertainment,Suggested from entertainment-related merchant or message text.,You made a $36755.21 transaction at Netflix on 03/04/2023. Available: $18532.05.
sms_seed_v1-train-0020,train,debit,Target,7493.54,EUR,19/12/2023,Kotak,Other,Other,Defaulted to Other because the label was not certain.,€7493.54 spent at Target on 19/12/2023. Card: ****9122. Balance: €74938.39.
sms_seed_v1-train-0021,train,debit,Costco,13310.96,USD,11/12/2023,HDFC,Health,Other,Defaulted to Other because the label was not certain.,You made a $13310.96 transaction at Costco on 11/12/2023. Available: $50093.02.
sms_seed_v1-train-0022,train,debit,Amazon,6611.42,INR,2023-02-17,HDFC,Other,Other,Defaulted to Other because the label was not certain.,INR 6611.42 withdrawn via Credit Card to Amazon on 2023-02-17. Ref: 119997470118.
sms_seed_v1-train-0024,train,debit,AJIO,45473.79,INR,19-01-2023,Kotak,Utilities,Other,Defaulted to Other because the label was not certain.,Rs. 45473.79 debited from A/c **7870 on 19-01-2023 at AJIO. Avl Bal: Rs. 56002.5.
sms_seed_v1-train-0025,train,debit,Uber,23205.86,INR,2024-06-14,HDFC,Transport,Transport,Suggested from transport-related merchant or message text.,INR 23205.86 debited via Net Banking to Uber on 2024-06-14. Ref: 419467311184.
sms_seed_v1-train-0026,train,debit,PhonePe,28968.62,INR,2024-06-14,Kotak,Other,Other,Defaulted to Other because the label was not certain.,withdrawn of Rs. 28968.62 made at PhonePe on 2024-06-14. Card ending 5244. Avl Bal: Rs. 98418.08.
sms_seed_v1-train-0027,train,debit,Zomato,35365.71,INR,26/01/2024,Bank of America,Food,Food,Suggested from food-related merchant or message text.,INR 35365.71 debited via Wallet to Zomato on 26/01/2024. Ref: 845719442787.
sms_seed_v1-train-0028,train,debit,PhonePe,36935.71,INR,05-12-2023,SBI,Other,Other,Defaulted to Other because the label was not certain.,spent of Rs. 36935.71 made at PhonePe on 05-12-2023. Card ending 3106. Avl Bal: Rs. 77542.78.
sms_seed_v1-train-0029,train,debit,KFC,680.14,INR,16/08/2023,Axis,Other,Food,Suggested from food-related merchant or message text.,Rs. 680.14 withdrawn from A/c **9473 on 16/08/2023 at KFC. Avl Bal: Rs. 53427.74.
sms_seed_v1-train-0030,train,debit,Ola,41900.89,INR,04/03/2024,Revolut,Transport,Transport,Suggested from transport-related merchant or message text.,Your A/c **4038 spent Rs. 41900.89 on 04/03/2024 at Ola. Balance: Rs. 14885.23.
sms_seed_v1-train-0031,train,debit,BookMyShow,37326.56,EUR,17-09-2024,Kotak,Entertainment,Entertainment,Suggested from entertainment-related merchant or message text.,Transaction: €37326.56 to BookMyShow on 17-09-2024 via UPI.
sms_seed_v1-train-0032,train,debit,KFC,23991.9,EUR,19/10/2023,Bank of America,Other,Food,Suggested from food-related merchant or message text.,€23991.9 debited at KFC on 19/10/2023. Card: ****1129. Balance: €30967.8.
sms_seed_v1-train-0034,train,debit,Best Buy,5918.46,INR,04-05-2023,HDFC,Other,Other,Defaulted to Other because the label was not certain.,Rs. 5918.46 spent from A/c **8411 on 04-05-2023 at Best Buy. Avl Bal: Rs. 50887.72.
sms_seed_v1-train-0036,train,debit,BigBasket,35099.92,INR,20-10-2024,ICICI,Groceries,Groceries,Suggested from grocery-related merchant or message text.,Your A/c **4246 spent Rs. 35099.92 on 20-10-2024 at BigBasket. Balance: Rs. 57049.81.
sms_seed_v1-train-0039,train,debit,Pizza Hut,10906.19,INR,2023-05-10,Chase,Food,Food,Suggested from food-related merchant or message text.,Rs. 10906.19 withdrawn from A/c **7189 on 2023-05-10 at Pizza Hut. Avl Bal: Rs. 45809.22.
sms_seed_v1-train-0040,train,debit,Costco,23932.92,EUR,07/05/2024,ICICI,Other,Other,Defaulted to Other because the label was not certain.,Transaction: €23932.92 to Costco on 07/05/2024 via Wallet.
sms_seed_v1-train-0041,train,debit,Uber,22781.52,USD,24/02/2023,Axis,Transport,Transport,Suggested from transport-related merchant or message text.,You made a $22781.52 transaction at Uber on 24/02/2023. Available: $90736.75.
sms_seed_v1-train-0042,train,debit,Pizza Hut,28301.94,USD,2024-06-02,Revolut,Food,Food,Suggested from food-related merchant or message text.,withdrawn: $28301.94 at Pizza Hut on 2024-06-02 with card ...7841.
sms_seed_v1-train-0043,train,debit,Ola,43115.88,INR,2024-09-17,Bank of America,Transport,Transport,Suggested from transport-related merchant or message text.,spent of Rs. 43115.88 made at Ola on 2024-09-17. Card ending 2622. Avl Bal: Rs. 15346.45.
sms_seed_v1-train-0046,train,debit,Uber,23754.48,EUR,2023-06-28,Revolut,Transport,Transport,Suggested from transport-related merchant or message text.,Transaction: €23754.48 to Uber on 2023-06-28 via Debit Card.
sms_seed_v1-train-0048,train,debit,BigBasket,29652.84,USD,24/11/2024,Kotak,Groceries,Groceries,Suggested from grocery-related merchant or message text.,$29652.84 withdrawn at BigBasket on 24/11/2024. Card ending in 5377. Balance: $27608.56.
sms_seed_v1-train-0049,train,debit,AJIO,42332.22,EUR,2023-05-14,Chase,Utilities,Other,Defaulted to Other because the label was not certain.,Transaction: €42332.22 to AJIO on 2023-05-14 via Credit Card.
sms_seed_v1-train-0050,train,debit,BigBasket,7808.68,INR,15/01/2024,Revolut,Groceries,Groceries,Suggested from grocery-related merchant or message text.,Your A/c **9234 debited Rs. 7808.68 on 15/01/2024 at BigBasket. Balance: Rs. 58006.18.
sms_seed_v1-train-0051,train,debit,Paytm,4551.64,USD,23-06-2024,Kotak,Health,Other,Defaulted to Other because the label was not certain.,You made a $4551.64 transaction at Paytm on 23-06-2024. Available: $28311.93.
sms_seed_v1-train-0052,train,debit,Myntra,19120.79,INR,2023-03-02,Kotak,Other,Other,Defaulted to Other because the label was not certain.,INR 19120.79 withdrawn via Wallet to Myntra on 2023-03-02. Ref: 659859437131.
sms_seed_v1-train-0053,train,debit,Chevron,8218.32,INR,21/10/2023,Bank of America,Other,Transport,Suggested from fuel-related merchant or message text; collapsed to Transport because Fuel is not in the shipped taxonomy.,INR 8218.32 withdrawn via Debit Card to Chevron on 21/10/2023. Ref: 944724148527.
sms_seed_v1-train-0054,train,debit,Domino's,35440.87,INR,2023-05-06,HDFC,Other,Food,Suggested from food-related merchant or message text.,spent of Rs. 35440.87 made at Domino's on 2023-05-06. Card ending 8324. Avl Bal: Rs. 4736.24.
sms_seed_v1-train-0056,train,debit,ATM Withdrawal,500.0,INR,13-02-2024,SBI,Other,Other,Defaulted to Other because the label was not certain.,Rs.500 withdrawn from ATM on 13-02-2024
sms_seed_v1-train-0057,train,debit,Starbucks,21366.59,INR,26/11/2024,SBI,Other,Food,Suggested from food-related merchant or message text.,spent of Rs. 21366.59 made at Starbucks on 26/11/2024. Card ending 9405. Avl Bal: Rs. 92948.51.
sms_seed_v1-train-0058,train,debit,Zomato,21149.31,INR,12-09-2024,Bank of America,Food,Food,Suggested from food-related merchant or message text.,INR 21149.31 debited via UPI to Zomato on 12-09-2024. Ref: 387551345189.
sms_seed_v1-train-0060,train,debit,Whole Foods,18348.51,INR,2023-11-04,Axis,Food,Other,Defaulted to Other because the label was not certain.,Rs. 18348.51 withdrawn from A/c **4073 on 2023-11-04 at Whole Foods. Avl Bal: Rs. 96023.09.
sms_seed_v1-train-0061,train,debit,Netflix,37661.56,INR,07/04/2024,Revolut,Entertainment,Entertainment,Suggested from entertainment-related merchant or message text.,Rs. 37661.56 spent from A/c **3634 on 07/04/2024 at Netflix. Avl Bal: Rs. 27759.89.
sms_seed_v1-train-0062,train,debit,Whole Foods,47234.85,INR,2024-09-28,Revolut,Food,Other,Defaulted to Other because the label was not certain.,Rs. 47234.85 spent from A/c **2537 on 2024-09-28 at Whole Foods. Avl Bal: Rs. 87246.56.
sms_seed_v1-train-0064,train,debit,Nykaa,9316.21,INR,28/01/2023,HDFC,Other,Other,Defaulted to Other because the label was not certain.,Rs. 9316.21 debited from A/c **1590 on 28/01/2023 at Nykaa. Avl Bal: Rs. 34386.12.
sms_seed_v1-train-0065,train,debit,Amazon,2499.0,INR,14-02-2024,ICICI,Other,Other,Defaulted to Other because the label was not certain.,"Thank you for using your ICICI Bank Credit Card ending 5678 for INR 2,499 at AMAZON on 14-02-2024"
sms_seed_v1-train-0067,train,debit,Swiggy,1500.0,INR,15-02-2024,HDFC,Food,Food,Suggested from food-related merchant or message text.,"Rs.1,500.00 debited from a/c **1234 on 15-02-2024. Avl Bal: Rs.25,430.50. Swiggy - Food Order"
sms_seed_v1-train-0068,train,debit,Costco,36151.67,INR,27/12/2024,ICICI,Other,Other,Defaulted to Other because the label was not certain.,withdrawn of Rs. 36151.67 made at Costco on 27/12/2024. Card ending 1560. Avl Bal: Rs. 89942.59.
sms_seed_v1-train-0069,train,debit,Nykaa,20224.32,USD,18-03-2023,Axis,Health,Other,Defaulted to Other because the label was not certain.,You made a $20224.32 transaction at Nykaa on 18-03-2023. Available: $51718.2.
sms_seed_v1-train-0070,train,debit,KFC,34495.46,USD,03-04-2024,HDFC,Other,Food,Suggested from food-related merchant or message text.,$34495.46 spent at KFC on 03-04-2024. Card ending in 4605. Balance: $83755.12.
sms_seed_v1-train-0072,train,debit,Nykaa,3099.63,USD,25/04/2024,Chase,Health,Other,Defaulted to Other because the label was not certain.,You made a $3099.63 transaction at Nykaa on 25/04/2024. Available: $43017.1.
sms_seed_v1-train-0073,train,debit,Paytm,14672.75,USD,2024-06-20,Axis,Other,Other,Defaulted to Other because the label was not certain.,$14672.75 debited at Paytm on 2024-06-20. Card ending in 2765. Balance: $16992.13.
sms_seed_v1-train-0076,train,debit,KFC,36839.12,INR,15-07-2024,ICICI,Other,Food,Suggested from food-related merchant or message text.,spent of Rs. 36839.12 made at KFC on 15-07-2024. Card ending 2541. Avl Bal: Rs. 9071.49.
sms_seed_v1-train-0078,train,debit,Google Pay,34448.75,JPY,11-10-2023,Kotak,Other,Other,Defaulted to Other because the label was not certain.,¥34448.75 spent at Google Pay on 11-10-2023. Balance: ¥16732.61.
sms_seed_v1-train-0079,train,debit,Grofers,881.05,INR,2023-01-16,Axis,Other,Groceries,Suggested from grocery-related merchant or message text.,Rs. 881.05 debited from A/c **7043 on 2023-01-16 at Grofers. Avl Bal: Rs. 23459.0.
sms_seed_v1-train-0080,train,debit,BP,24149.48,INR,2024-11-28,Axis,Other,Transport,Suggested from fuel-related merchant or message text; collapsed to Transport because Fuel is not in the shipped taxonomy.,INR 24149.48 debited via Debit Card to BP on 2024-11-28. Ref: 857310055501.
sms_seed_v1-train-0081,train,debit,Spotify,4222.99,INR,2024-12-06,Kotak,Entertainment,Entertainment,Suggested from entertainment-related merchant or message text.,Rs. 4222.99 spent from A/c **4407 on 2024-12-06 at Spotify. Avl Bal: Rs. 59082.15.
sms_seed_v1-train-0082,train,debit,AJIO,7041.2,JPY,2023-04-07,ICICI,Utilities,Other,Defaulted to Other because the label was not certain.,ご利用¥7041.2 at AJIO on 2023-04-07. Available: ¥24615.57.
sms_seed_v1-train-0083,train,debit,Swiggy,30002.0,USD,27/09/2023,ICICI,Food,Food,Suggested from food-related merchant or message text.,spent: $30002.0 at Swiggy on 27/09/2023 with card ...8131.
sms_seed_v1-train-0085,train,debit,Ola,3050.41,USD,09/04/2023,Kotak,Transport,Transport,Suggested from transport-related merchant or message text.,$3050.41 withdrawn at Ola on 09/04/2023. Card ending in 4795. Balance: $77805.43.
sms_seed_v1-train-0088,train,debit,Google Pay,22466.79,INR,22/07/2023,SBI,Other,Other,Defaulted to Other because the label was not certain.,INR 22466.79 debited via Wallet to Google Pay on 22/07/2023. Ref: 193836186358.
sms_seed_v1-train-0091,train,debit,Target,40375.39,USD,16-07-2024,Axis,Other,Other,Defaulted to Other because the label was not certain.,$40375.39 withdrawn at Target on 16-07-2024. Card ending in 4818. Balance: $21790.4.
sms_seed_v1-train-0092,train,debit,AJIO,2022.45,USD,2023-07-23,Chase,Utilities,Other,Defaulted to Other because the label was not certain.,withdrawn: $2022.45 at AJIO on 2023-07-23 with card ...1942.
sms_seed_v1-train-0093,train,debit,Pizza Hut,32168.76,EUR,14-12-2024,Revolut,Food,Food,Suggested from food-related merchant or message text.,Transaction: €32168.76 to Pizza Hut on 14-12-2024 via UPI.
sms_seed_v1-train-0094,train,debit,Domino's,21215.68,INR,2023-01-25,HDFC,Other,Food,Suggested from food-related merchant or message text.,Your A/c **8038 spent Rs. 21215.68 on 2023-01-25 at Domino's. Balance: Rs. 14693.73.
sms_seed_v1-train-0095,train,debit,MakeMyTrip,42988.43,JPY,2024-02-09,Revolut,Other,Transport,Suggested from travel-ticket merchant or message text; collapsed to Transport because Travel is not in the shipped taxonomy.,¥42988.43 spent at MakeMyTrip on 2024-02-09. Balance: ¥48196.98.
sms_seed_v1-train-0097,train,debit,Starbucks,3382.68,INR,2023-10-02,Kotak,Other,Food,Suggested from food-related merchant or message text.,INR 3382.68 debited via Net Banking to Starbucks on 2023-10-02. Ref: 889777194087.
sms_seed_v1-train-0099,train,debit,Amazon,10759.25,JPY,09/02/2023,ICICI,Other,Other,Defaulted to Other because the label was not certain.,¥10759.25 withdrawn at Amazon on 09/02/2023. Balance: ¥10674.88.
sms_seed_v1-train-0100,train,debit,Nykaa,15867.04,INR,04/05/2023,ICICI,Other,Other,Defaulted to Other because the label was not certain.,INR 15867.04 withdrawn via Credit Card to Nykaa on 04/05/2023. Ref: 635931587094.
sms_seed_v1-train-0102,train,debit,Myntra,1900.67,INR,2024-02-16,HDFC,Other,Other,Defaulted to Other because the label was not certain.,Rs. 1900.67 withdrawn from A/c **1555 on 2024-02-16 at Myntra. Avl Bal: Rs. 36754.99.
sms_seed_v1-train-0103,train,debit,McDonald's,29042.25,USD,2024-03-07,Revolut,Health,Food,Suggested from food-related merchant or message text.,You made a $29042.25 transaction at McDonald's on 2024-03-07. Available: $47046.92.
sms_seed_v1-train-0104,train,debit,Best Buy,37510.33,INR,20/03/2024,Kotak,Other,Other,Defaulted to Other because the label was not certain.,INR 37510.33 debited via Credit Card to Best Buy on 20/03/2024. Ref: 711828537780.
sms_seed_v1-train-0105,train,debit,Exxon,47573.02,JPY,23/07/2024,SBI,Other,Transport,Suggested from fuel-related merchant or message text; collapsed to Transport because Fuel is not in the shipped taxonomy.,¥47573.02 debited at Exxon on 23/07/2024. Balance: ¥17538.6.
sms_seed_v1-train-0106,train,debit,McDonald's,46099.83,JPY,2023-11-23,ICICI,Health,Food,Suggested from food-related merchant or message text.,ご利用¥46099.83 at McDonald's on 2023-11-23. Available: ¥38037.32.
sms_seed_v1-train-0107,train,debit,Ola,13235.68,INR,07-08-2024,SBI,Transport,Transport,Suggested from transport-related merchant or message text.,withdrawn of Rs. 13235.68 made at Ola on 07-08-2024. Card ending 9836. Avl Bal: Rs. 51617.04.
sms_seed_v1-train-0108,train,debit,Shell,10214.81,EUR,12/08/2023,Axis,Other,Transport,Suggested from fuel-related merchant or message text; collapsed to Transport because Fuel is not in the shipped taxonomy.,Transaction: €10214.81 to Shell on 12/08/2023 via Credit Card.
sms_seed_v1-train-0110,train,debit,Uber,21753.27,USD,08/05/2024,SBI,Transport,Transport,Suggested from transport-related merchant or message text.,$21753.27 debited at Uber on 08/05/2024. Card ending in 2259. Balance: $73029.93.
sms_seed_v1-train-0111,train,debit,Ola,5143.44,INR,05-05-2024,Axis,Transport,Transport,Suggested from transport-related merchant or message text.,Your A/c **2765 withdrawn Rs. 5143.44 on 05-05-2024 at Ola. Balance: Rs. 88617.99.
sms_seed_v1-train-0112,train,debit,Costco,31707.04,INR,06-02-2024,Revolut,Other,Other,Defaulted to Other because the label was not certain.,Rs. 31707.04 spent from A/c **7808 on 06-02-2024 at Costco. Avl Bal: Rs. 22597.55.
sms_seed_v1-train-0113,train,debit,Whole Foods,22120.42,INR,2024-08-10,Axis,Food,Other,Defaulted to Other because the label was not certain.,Rs. 22120.42 spent from A/c **6169 on 2024-08-10 at Whole Foods. Avl Bal: Rs. 31104.56.
sms_seed_v1-train-0114,train,debit,BigBasket,44103.71,INR,2024-01-03,Revolut,Groceries,Groceries,Suggested from grocery-related merchant or message text.,spent of Rs. 44103.71 made at BigBasket on 2024-01-03. Card ending 2436. Avl Bal: Rs. 73230.95.
sms_seed_v1-train-0115,train,debit,Amazon,24113.13,USD,2024-12-18,HDFC,Other,Other,Defaulted to Other because the label was not certain.,withdrawn: $24113.13 at Amazon on 2024-12-18 with card ...4956.
sms_seed_v1-train-0116,train,debit,Costco,35772.2,USD,24/09/2023,Chase,Other,Other,Defaulted to Other because the label was not certain.,debited: $35772.2 at Costco on 24/09/2023 with card ...2419.
sms_seed_v1-train-0117,train,debit,Grofers,37619.9,EUR,14/08/2024,Revolut,Other,Groceries,Suggested from grocery-related merchant or message text.,Transaction: €37619.9 to Grofers on 14/08/2024 via Net Banking.
sms_seed_v1-train-0118,train,debit,Google Pay,32590.82,USD,2023-05-09,HDFC,Other,Other,Defaulted to Other because the label was not certain.,withdrawn: $32590.82 at Google Pay on 2023-05-09 with card ...7930.
sms_seed_v1-train-0119,train,debit,McDonald's,18639.82,JPY,15/05/2024,SBI,Other,Food,Suggested from food-related merchant or message text.,¥18639.82 debited at McDonald's on 15/05/2024. Balance: ¥18385.08.
sms_seed_v1-train-0120,train,debit,McDonald's,2695.49,USD,2024-11-06,Bank of America,Health,Food,Suggested from food-related merchant or message text.,You made a $2695.49 transaction at McDonald's on 2024-11-06. Available: $57290.87.
sms_seed_v1-train-0122,train,debit,Starbucks,23133.92,EUR,19/11/2023,SBI,Other,Food,Suggested from food-related merchant or message text.,€23133.92 withdrawn at Starbucks on 19/11/2023. Card: ****8445. Balance: €91427.73.
sms_seed_v1-train-0123,train,debit,Whole Foods,47588.12,INR,2023-03-11,Revolut,Food,Other,Defaulted to Other because the label was not certain.,debited of Rs. 47588.12 made at Whole Foods on 2023-03-11. Card ending 5943. Avl Bal: Rs. 45257.76.
sms_seed_v1-train-0124,train,debit,Google Pay,15085.37,USD,2024-06-08,Kotak,Health,Other,Defaulted to Other because the label was not certain.,You made a $15085.37 transaction at Google Pay on 2024-06-08. Available: $74087.18.
sms_seed_v1-train-0126,train,debit,AJIO,17873.85,INR,23-05-2024,Bank of America,Utilities,Other,Defaulted to Other because the label was not certain.,Rs. 17873.85 spent from A/c **1584 on 23-05-2024 at AJIO. Avl Bal: Rs. 47659.74.
sms_seed_v1-train-0127,train,debit,Nykaa,23086.97,INR,2024-07-26,Axis,Other,Other,Defaulted to Other because the label was not certain.,Your A/c **5759 withdrawn Rs. 23086.97 on 2024-07-26 at Nykaa. Balance: Rs. 31250.91.
sms_seed_v1-train-0128,train,debit,Myntra,7581.22,USD,22-02-2024,Revolut,Health,Other,Defaulted to Other because the label was not certain.,You made a $7581.22 transaction at Myntra on 22-02-2024. Available: $47772.47.
sms_seed_v1-train-0129,train,debit,AJIO,15648.95,INR,02-01-2023,Revolut,Utilities,Other,Defaulted to Other because the label was not certain.,spent of Rs. 15648.95 made at AJIO on 02-01-2023. Card ending 2150. Avl Bal: Rs. 49486.91.
sms_seed_v1-train-0130,train,debit,BP,37609.73,JPY,25/05/2023,Chase,Health,Transport,Suggested from fuel-related merchant or message text; collapsed to Transport because Fuel is not in the shipped taxonomy.,ご利用¥37609.73 at BP on 25/05/2023. Available: ¥19157.1.
sms_seed_v1-train-0131,train,debit,Chevron,22001.3,JPY,2023-01-13,ICICI,Other,Transport,Suggested from fuel-related merchant or message text; collapsed to Transport because Fuel is not in the shipped taxonomy.,¥22001.3 debited at Chevron on 2023-01-13. Balance: ¥56335.17.
sms_seed_v1-train-0133,train,debit,Amazon,26928.05,INR,10-09-2024,Revolut,Other,Other,Defaulted to Other because the label was not certain.,INR 26928.05 withdrawn via Wallet to Amazon on 10-09-2024. Ref: 726365304579.
sms_seed_v1-train-0134,train,debit,Myntra,6807.06,INR,20-09-2023,Bank of America,Other,Other,Defaulted to Other because the label was not certain.,Your A/c **9802 spent Rs. 6807.06 on 20-09-2023 at Myntra. Balance: Rs. 72508.52.
sms_seed_v1-train-0135,train,debit,MakeMyTrip,31756.5,INR,06-06-2023,Axis,Other,Transport,Suggested from travel-ticket merchant or message text; collapsed to Transport because Travel is not in the shipped taxonomy.,INR 31756.5 withdrawn via Credit Card to MakeMyTrip on 06-06-2023. Ref: 684583467452.
sms_seed_v1-train-0136,train,debit,Ola,27923.65,EUR,23/05/2024,Axis,Transport,Transport,Suggested from transport-related merchant or message text.,Transaction: €27923.65 to Ola on 23/05/2024 via Net Banking.
sms_seed_v1-train-0137,train,debit,Swiggy,17427.19,INR,24/09/2023,Kotak,Food,Food,Suggested from food-related merchant or message text.,Rs. 17427.19 spent from A/c **4136 on 24/09/2023 at Swiggy. Avl Bal: Rs. 81995.96.
sms_seed_v1-train-0138,train,debit,Nykaa,27114.55,INR,2024-08-04,Bank of America,Other,Other,Defaulted to Other because the label was not certain.,Your A/c **1469 spent Rs. 27114.55 on 2024-08-04 at Nykaa. Balance: Rs. 10159.0.
sms_seed_v1-train-0139,train,debit,AJIO,9606.26,INR,2023-06-27,HDFC,Utilities,Other,Defaulted to Other because the label was not certain.,Your A/c **4842 spent Rs. 9606.26 on 2023-06-27 at AJIO. Balance: Rs. 82795.44.
sms_seed_v1-train-0140,train,debit,Paytm,41519.06,EUR,2023-09-01,HDFC,Other,Other,Defaulted to Other because the label was not certain.,€41519.06 debited at Paytm on 2023-09-01. Card: ****8144. Balance: €22438.82.
sms_seed_v1-train-0141,train,debit,Exxon,15542.94,USD,21-09-2023,Chase,Health,Transport,Suggested from fuel-related merchant or message text; collapsed to Transport because Fuel is not in the shipped taxonomy.,You made a $15542.94 transaction at Exxon on 21-09-2023. Available: $98484.61.
sms_seed_v1-train-0144,train,debit,KFC,47858.66,EUR,2024-12-04,ICICI,Other,Food,Suggested from food-related merchant or message text.,Transaction: €47858.66 to KFC on 2024-12-04 via Credit Card.
sms_seed_v1-train-0145,train,debit,KFC,1147.8,EUR,2024-12-07,Axis,Other,Food,Suggested from food-related merchant or message text.,€1147.8 debited at KFC on 2024-12-07. Card: ****1247. Balance: €71050.92.
sms_seed_v1-train-0146,train,debit,Target,46556.21,JPY,2024-02-06,Bank of America,Other,Other,Defaulted to Other because the label was not certain.,¥46556.21 spent at Target on 2024-02-06. Balance: ¥41970.47.
